Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.29811783123569E-15,-2.55351295663786E-14,0.0527140176534378,0,0,0,2.6517937627355,0.00459869882416778,1.85752629607686E-17,-2.28219532296407E-15,0.00475862705157852,2.22748606625393E-15,0.00370665473180569,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,link1-1,r_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r1,-2.45882333965719E-06,-3.29465040194155E-07,0.164278748235391,0,0,0,1.49114512916891,0.00305995014021982,1.23264704419555E-07,4.84189826771435E-08,0.00378498860937016,-4.00260806320922E-08,0.00212611420638678,0,0,0,0,0,0,package://urdf/meshes/r1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r1.STL,,link-2-1,r_c0,r_1,r-j1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
r2,-1.73912983857383E-05,-0.045302289186851,0.000758985811080221,0,0,0,2.7030708005657,0.00985116104091457,-3.38766701447005E-06,-5.61641753701589E-10,0.00588775168674872,-9.3081179688794E-05,0.00748059216406972,0,0,0,0,0,0,package://urdf/meshes/r2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r2.STL,,link-3-1,r_c1,r_2,r-j2,revolute,0,0,0.2075,-1.5708,0,3.1416,r1,0,0,1,0,0,-1.8325,1.8325,,,,,,,,
r3,0.00781892928429065,0.000443169688911726,0.236718911077405,0,0,0,3.54660276963343,0.0185269491138635,1.22803049215312E-06,-0.000120248225114125,0.0186931698724925,1.68848263469426E-05,0.0037520600753781,0,0,0,0,0,0,package://urdf/meshes/r3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r3.STL,,link-4-1,r_c2,r_3,r-j3,revolute,0,0,0,1.5708,0,0,r2,0,0,1,0,0,0,0,,,,,,,,
r4,0.00464859992891739,-0.0316068183766519,0.000433526857347266,0,0,0,1.47407492251049,0.00379436067438255,0.00016058091609879,2.4669928356952E-07,0.00225645571243247,7.77456261983296E-06,0.00281220267725995,0,0,0,0,0,0,package://urdf/meshes/r4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r4.STL,,link-5-2,r_c3,r_4,r-j4,revolute,0.00040027,0,0.33028,-1.5708,0,0,r3,0,0,1,0,0,-2.5307,0.5235,,,,,,,,
r5,-2.41117716243133E-06,0.00407933088083307,0.183521132961616,0,0,0,2.28121145937994,0.00549376131725593,1.63293925681376E-07,1.60661986226837E-07,0.00558037684698877,-0.000384345841898028,0.00195950697428381,0,0,0,0,0,0,package://urdf/meshes/r5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r5.STL,,link-6-1,r_c4,r_5,r-j5,revolute,0,0,0,1.5708,0,0,r4,0,0,1,0,0,0,0,,,,,,,,
r6,-1.79742565914465E-07,-0.0856690489718185,0.00568955612692162,0,0,0,1.71844746686076,0.00430059794688191,4.61984898627264E-08,1.07416214264555E-08,0.00153199579327497,-0.000759767652732725,0.0041130216134936,0,0,0,0,0,0,package://urdf/meshes/r6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/r6.STL,,link-7-1;link-9-1,r_c5,r_6,r-j6,revolute,0,0,0.23494,-1.5708,0,-3.1416,r5,0,0,1,0,0,-1.5707,1.5707,,,,,,,,
rt,-2.77555756156289E-17,2.77555756156289E-17,-0.00099999999999989,0,0,0,0.00155862265526226,9.71784989903361E-08,-8.44451673424977E-30,-2.13144338371386E-24,9.71784989903361E-08,1.94259206721209E-24,1.93317916210497E-07,0,0,0,0,0,0,package://urdf/meshes/rt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/rt.STL,,link-t-1,r_c7,r_7,r_t,fixed,0,-0.1559,0,1.5708,0,0,r6,0,0,0,,,,,,,,,,,,
